regular,corp
Why didn't you ask me for this sooner?,Given the tight turnaround it would have been beneficial to have been looped in on this sooner.
Why didn't you tell me that the first time?,This would have been valuable to communicate earlier on this process.
Why don't you share important information with the people it impacts most?,This information has a great impact on those who are not being currently communicated with.
Why have you not approved my time off yet?,I wanted to confirm that you have received my time off request and understand if there is anything further you require on my end for this to be reviewed. 
Why was'nt I informed sooner?,Thanks for keeping me in the loop.
Why would I go to the office if I can do my job from home?,Can you help me understand why I am required to be in the office when I can effectively execute my job responsibilities remotely?
WTF.,Can you elaborate on that?
You are capable of doing this on your own. ,I am confident in your knowledge on this topic and encourage you to take the lead.
You are not my boss so stop acting like it. ,"In case you were not aware of our organizational structure, I report to Alice and take direction from her."
"You are not my boss, stop trying to assign me work.",Have you connected with my manager in regards to me taking this on? As it has not been communicated to me that I’ll be working on this.
You are not my boss.,"I can look at prioritising this behind my assigned responsibilities, though I will have to ensure that with my manager."
You are not pulling your weight on this project. ,Our contributions on this project to date do not appear to be equal. Will your involvment be increasing as the timeline continues?
You are overcomplicating this.,Being mindful of timelines. Let’s concentrate on the initial scope.
You are underpaying me.,There is a notable discrepancy between my current salary and the going market rate for the comparable roles.
You are wasting my time.,Being respectful of time let’s regroup when more details become available.
Your'e asking for too much.,We'll need to manage expectations.
"You can send your email outside of my working hours, but I'm not going to respond or read them.",Please note that my inbox is monitored within regular working hours.
You didn't answer my question.,"Perhaps it was overlooked, but I asked this question and didn’t get a complete reply regarding it."
You didn't explain this point.,could you please elaborate on this subject?
"You didn't give me clear instructions, how was I supposed to know that?",I did my best with the information I was provided.
You Didn’t Answer My Question.,"You shared so much today; it is going to take time for it to all sink in. I was jotting down some key points along the way. I also wrote down a few questions, and they weren’t answered when you finished. Do you mind if I ask them now?"
You don't know what you're talking about.,Your input is so valuable
you don't let me talk.,Can I just say something here?
you don't understand me.,Perhaps I'm not making myself clear.
You don’t have a choice.,Thanks in advance
You fucked up.,"Well, you’ve provided us all with a great opportunity for education on this matter."
You go over my work so much you may as well just do it yourself.,I appreciate your thourogh attentiveness on my deliverables. To ensure we are not duplicating work please let me know in the future if you'd like to take this on yourself. 
You have to be more clear on what you want. ,"In order to successfuly complete this, I will need further details on what is required. "
"You know this already, and denying that will now make you look stupid.",As no doubt you are aware…
"You messed it up last time, it better not happen again.",I am bringing this to your attention so we don’t have the same outcome as we had last time
You messed up. Don’t do it again.,"Going forward, I would prefer that you…"
"You need to start pulling your weight, I can't keep doing your work for you.","I understand you're responsible for completing this, my own workload is demanding and doesn't lend me the time to complete this for you."
"You should be the one doing this, not me.",It is my understanding that this is your responsibility. If that is not the case please let me know.
You're crazy thinking I will spend my weekend working on this project.,"Thank you for the offer to do the project, but this weekend doesn’t work for me."
You're holding everyone up by not completing this task.,I an checking in to see if you have an ETA on when this will be completed. Your task needs to be done in order for us to continue working on our pieces.
you're not my boss,"Unfortunately, I have too much to do today. I can help you another time"
"you're not my boss, asshole.",Could I pick up with you after the meeting to discuss this in more detail?
you're trying to rip us off.,We're looking for a better price.
You're wrong.,I understand.
You're wrong.,I feel different about this topic.
You’re an idiot.,I find your ideas to be both thought-provoking and challenging to implement.
You’re wasting everyone’s time.,Let’s take this offline.
You’ve had more than enough time – where’s what I asked for?,Friendly reminder
You’ve really pissed me off.,:)
Your communication could not have been less clear.,I'm struggling to understand your vision here.
Your job is what I say it is.,"I know this is not what you wanted, but this is what I need you to do."
Your micromanaging isn’t making this go any faster.,"Though I appreciate your attention to this, I feel as though I could be more productive if I had an opportunity to work independently here."
Your mistake was stupid.,Can you think of a way we can avoid this in the future?
Your'e not doing your job properly and it's making more job for me.,"Iv''e noticed that there are a few tasks that are not being completed properly, and I wanted to check in and see if you wanted to go over them together to avoid rework on my side. "
