id,source,target
270,Just make a decision by yourself!,"Feel free to make the decision, I am not passionate about this and will defer to your judgement here."
51,"Don't use the last of the printer paper without replacing it, it's basic etiquette.",Replenishing shared resources when they're low is a courtesy that benefits everyone.
446,"This isn't a dictatorship, listen to others.",Incorporating diverse perspectives and fostering open communication strengthens team dynamics.
474,We don't need a running commentary of your email inbox.,Limiting unnecessary conversation can help reduce distractions and maintain a focused environment.
118,"I don't care if you're tired, we have work to do.","While I understand the pressures, maintaining our agreed-upon work schedules is crucial for project timelines."
182,I totally forgot about your email.,This one fell through the cracks. My apologies.
482,We're not here to babysit you.,Assuming responsibility for personal tasks fosters autonomy and growth.
521,You always take forever to respond to emails.,Prompt responses to emails will facilitate smoother workflow. Let's aim for that.
582,Your gossip sessions are louder than a reality show.,Keeping personal conversations at a low volume respects the focus of others.
376,Stop slurping your coffee like it's the last cup on earth.,Observing quiet manners during break times ensures a tranquil shared space.
317,"Quit playing favorites, it's unfair.",Promoting fairness and equal treatment contributes to a positive and inclusive work culture.
466,This task sounds scary. ,For now I'm not comfortable doing that task.
153,I have better things to do than attending this meeting ,Unfortunately I won't be able to attend this time. 
173,I never agreed to do that.,Seems that we had different expectations on who is responsible for completing this.
210,"If you don't like the estimate, you can go fuck yourself.","Sorry, but I can't cut costs anymore and still give you what you want. I don't think we will be a good fit. I will have to pass on this project."
309,Our deadline is approaching. Hurry up!,"As our deadline is quickly approaching, can you provide an update as to where you are in completing this task?"
480,Well that was a waste of words. ,Thanks for your opinion.
166,"I made plans I'm actually exited about, so I won't come to your boring meetup. ",Unfortunatelly I'm not able to make it to the meetup.
320,"Quit using speakerphone, we don't all need to hear your conversations.","Using headphones for calls, especially in shared spaces, respects the focus and privacy of others."
137,I don't want to do this project even if you think it is a good opportunity. ,"That's nice of you, I'm flattered that you thought of me for that project, but no, thank you."
414,That's not what I asked.,"My question may not have been specific enough, I would like to clarify it further."
622,"You're just so lazy, you never pull your weight around here.",It would be helpful if we could all contribute equally to team tasks to ensure fair workload distribution.
189,I'm not attending this meeting because it's a waste of my time.,Declining this invite as I do not feel as though i'm able to add value to this meeting.
361,"Stop hovering over my shoulder, it's annoying.",Maintaining a respectful personal space can help everyone feel more comfortable and focused.
260,It's not all about you.,Balancing individual needs with team goals helps to achieve a synergistic effect.
209,"If you crinkle that candy wrapper one more time, I'll scream.",Avoiding noisy packaging in shared spaces can contribute to a quieter environment.
523,You are not my boss so stop acting like it.,"In case you were not aware of our organizational structure, I report to alice and take direction from her."
120,I don't feel like coming. ,"I'm just swamped right now, so I can't."
113,"I don't give a shit about your personal life, but I have to pretend that I do for the sake of this email.",I hope this email finds you well.
613,You're always so picky about insignificant details.,"While precision is important, focusing too much on minor details can slow down progress."
285,My job has evolved but my salary has stayed the same.,"As my role has expanded since joining the company, I would like to review my compensation so that it better reflects my evolved responsibilities."
379,Stop tryig to call me before my work day even starts!,"To contact me effectively, please note that my working hours begin at 9am, and communications recieved prior to this will not be seen."
387,"Sucks for you, but that's the deal.",I hope you can understand.
202,"If I wanted a weather report, I'd ask Siri, not you.",Limiting non-essential conversation helps to keep focus on professional tasks and discussions.
580,Your endless monologues are stealing precious moments of my life.,"Brief, concise communication can ensure efficient use of time and respect for everyone's schedules."
517,Why you are not answering ,Just a kind reminder
472,We don't wanna do this. ,This effort does not align with our core competencies nor values.  
350,Stop bugging me!,You can be sure that I'll provide an update when I have one.
130,I don't know.,I'll find out.
604,Your projector fiddling could cause seizures.,Let's ensure we're familiar with equipment operation to minimize disruptions.
450,"This isn't a nightclub, turn down your ringtone volume.",Keeping electronic devices on silent or a low volume setting can minimize disruptions.
288,My workload is so heavy because you keep rewarding good work with more work.,"The opportunity to take on more responsibility is appreciated. However, my workload has become quite heavy and I would like to better understand what items are priorities."
562,Your army of desk toys is invading our workspace.,Keeping personal decorations minimal can maintain an uncluttered and efficient workspace.
43,Don't interrupt me.,"Thank you for you input, but please wait until I am finished sharing my thoughts before proceeding."
107,I didn't understand any of the 3 options listed,Can you please elaborate on the 3 options you suggested?
540,You don't understand me.,Perhaps I'm not making myself clear.
508,Why do you always have to be the boss's pet?,It's great that you have a strong relationship with management. Let's ensure that we're all getting equal opportunities to shine.
135,I don't wanna work with you more than I absolutely have to.,Would you be open to replacing our frequent communications with a monthly touch base where we can discuss all updated during that time?
445,"This isn't a dating service, keep it professional.",Maintaining professional boundaries in interpersonal relationships ensures respect and focus.
60,Fuck you.,Have a nice day!
44,"Don't leave your charging cables sprawled all over the floor, it's a tripping hazard.",Keeping communal areas clear of personal items helps ensure safety and accessibility.
171,"I need you to do this with me for the first time, I have no idea what I'm doing",Can you please onboard me
65,Got it?,"Should you have questions, please feel free to contact me."
286,My manager would yell at me if I say yes.,You can take it up with my manager if you'd like. 
85,I am burning out with this workload and your lack of support.,My productivity is being impacted by the overwhelming workload I am currently assigned. Is there any support you or the team can offer?
219,"If you steal my stapler one more time, it'll be war.",Let's ensure we return borrowed items promptly to respect everyone's needs.
198,I'd rather die. ,I'd rather not.
329,So you expect me to take on more work but pay me the same?,Is the expectation here that my responsibilities and workload are evolving but I am to remain with the same job title and compensation?
161,I have other plans I'm way more exited about. ,"Sadly, I have something else."
12,Are you stupid or what?,Let me clarify.
35,Do you have a culture that expects employees to put in over 40 hours each week?,How common it is within the company for employees to exceed 40 working hours per week?
172,I need your answer and I need it fast.,Thank you for your timely response.
542,You go over my work so much you may as well just do it yourself.,Your thourogh attentiveness on my deliverables is apprecisted. To ensure we are not duplicating work please let me know in the future if you'd like to take this on yourself.
534,You didn't answer my question.,"Perhaps it was overlooked, but I asked this question and didn't get a complete reply regarding it."
574,Your constant complaining isn't helping.,"While it's important to express concerns, focusing on solutions and positivity can be more productive."
97,I can't do a task that I don't understand half the words in it's description.,"Since I'm not qualified to do that, so I'm afraid I won't be able to help."
217,"If you leave your phone unattended and ringing again, I'll throw it out.",Muting devices when unattended can prevent unnecessary distractions.
464,This question doesn't make any sense. ,Could you please explain a bit more? I'm not sure I understand your question. 
610,You're always late with your work.,Let's discuss strategies for improving your time management to meet deadlines.
192,I'm not sorry. A five year old could understand this.,Apologies for being unclear.
396,That is so hard.,That is challenging.
401,That sounds like a horrible idea.,"Are we confident that this solution is the very best, or are we still exploring possible alternatives?"
535,You didn't explain this point.,Could you please elaborate on this subject?
248,I'm too busy.,"Once I complete my current task, I'll be happy to take a look at that."
4,Answer my messages!,Please let me know If there is a better way to get in contact with you please.
579,"Your drama-packed phone calls belong on a soap opera, not here.",Keeping personal calls private reduces disturbances and maintains a professional atmosphere.
100,I can't handle any more work without losing my will to live. ,I'm not taking on anything else right now.
410,"That's not my problem, deal with it yourself.","Though I understand your concern, this issue falls more directly within your area of responsibility."
505,Why can't you just get your act together? It's like you're clueless.,I've noticed some challenges in your recent work. Can we discuss potential strategies for improvement?
47,Don't throw a tantrum just because things aren't going your way.,"Adapting a flexible and solution-oriented mindset, even in challenging situations, fosters resilience and problem-solving."
32,Do it now.,Could you take a look at your earliest convenience?
190,I'm not doing your job for you.,I do not have the capacity to take this on in addition to my own workload but i'm happy to support where it makes sense.
116,I don't want to attend a work event during my personal time.,I'm unable to attend after working hours.
27,Did you do what I asked?,Following up on the below email.
612,"You're always so negative, it's annoying.",I'm noticing a pattern of negative feedback. Can we discuss ways to frame these in a more constructive manner?
207,"If we go with that option, we're screwed.","We could go for this option, but I think first we'd need to take time outside of this meeting to properly scope out and assess the multi-year maintenance requirements."
492,What is this meeting even for?,"Maybe I missed it, is there an agenda?"
381,Stop trying to make me do your work!,"At the moment I am not able to offer you additional support in completing your workload, as I am at capacity with my own assigned responsibilities."
291,No one asked for your life story at the water cooler.,Maintaining brevity in casual conversations respects others' time and focus.
422,The world doesn't revolve around you.,"While individual needs are important, we should also consider the impact of our actions on the team."
395,"That is so awkward, why would you invite me to something like that?","Appreciate the offer, but I can't commit."
501,While I'm on vacation don't try to contact me. Just pretend I don't exist.,While I am off I will not be reachable so please do not expect a response. For urgent matters you can contact my manager.
139,I don't want to have small talk with you. ,"Sorry, but I'm buried in work, catch up another day?"
62,Get off.,"With all due respect, I feel this conversation isn't going anywhere. And think we should agree to disagree."
475,We don't need another know-it-all.,"While expertise is valued, it's also important to be open to learning and listening to others."
131,I don't like it.,Why don't we think about it again?
597,Your obnoxious laugh is like a drill to the head.,"Being mindful of volume, even during light-hearted moments, can enhance the comfort of shared environments."
524,"You are not my boss, stop trying to assign me work.",Have you connected with my manager in regards to me taking this on? as it has not been communicated to me that i'll be working on this.
64,Google that for yourself.,The internet is a great resource for these type of questions and I am available to clarify elements that you are not able to find online.
14,Can you answer all of the questions I asked and not just choose what you want to answer?,Can you share some clarity on the issues that have already been inquired?
158,I have no idea how to answer that question.,"That is not my area of expertise, but I will connect with my team and follow up with you on that."
40,"Don't ask me again about meeting up, I'm not into it. ",Now isn't a good time for me. I'll let you know if my schedule frees up.
495,What took you so long?,Thanks for the quick turnaround
382,Stop trying to one-up everyone.,"While ambition is valued, promoting a collaborative rather than competitive atmosphere benefits the team."
199,I'd rather spend my free time on something I actually want to do. ,"Sadly I have something else planned after work, but sure it will be a blast!"
247,I'm too busy to even concidering taking this on. ,Right now I'm juggling a lot.
52,Don't use the microwave if you're going to stink up the place.,Being mindful of the communal spaces by limiting strong odors helps foster a more pleasant environment.
340,"Stop being a martyr, no one is impressed.","While your dedication is valued, it's equally important to share responsibilities and avoid overworking."
298,Nobody wants to hear about your personal problems.,"While we empathize with personal issues, focusing on work-related matters during office hours is essential."
253,It is not working for me.,"Unfortunately, that's just not possible. It won't work out this time."
465,This solution is just bad.,What an interesting solution. Did we also explore other alternatives?
459,"This isn't your backyard, quit sunbathing at the window.",Maintaining professional decorum in common areas demonstrates respect for the shared environment.
388,t me check and I'll get to you,I will need to socialize it with a few other stakeholders and revert
272,Keep your negative attitude to yourself.,Maintaining a positive and constructive attitude can significantly contribute to team morale.
237,"I'm not going behind their back, you can forget about it. ","No, I wouldn't feel comfortable doing that, so I'm afraid I'm going to have to decline."
163,I hope to hear from you soon.,Looking forward to discussing next steps.
614,You're always sticking your nose in my business.,"While collaboration is important, I would appreciate some autonomy in handling my tasks."
405,That was so easy.,That was very straightforward.
481,We're not a captive audience for your magic tricks.,"While personal hobbies are interesting, it's important to keep the primary focus on our professional tasks."
105,I couldn't care less.,I will defer to your judgment on this as I am not passionate either way and I trust your expertise.
625,"You're not my boss, asshole.",Could I pick up with you after the meeting to discuss this in more detail?
393,That idea is going to be an epic fail.,"This idea is interesting, but I am not in agreement with this idea and have hesitations moving forward."
1,Answer me now.,I hope to hear from you soon.
570,Your collection of novelty mouse pads is starting to invade my desk space.,Respecting the boundaries of shared spaces can ensure a comfortable and efficient environment.
620,You're just never around when we need you.,"Let's discuss your availability, as it's important to the team that we can rely on each other during work hours."
80,How you could have fucked this up so badly?,Please advise.
240,I'm not interested.,"Thank you for thinking of me, but I can't."
34,Do you expect employees to be available 24/7?,What is the expectation for being available outside of working hours?
511,"Why don't you try to solve the task at hand, instead of pushing your grandiose plans to solve problems nobody asked you to solve?",I think that would be a very impactful second phase but I suggest we keep your eyes on the prerequisites to make sure we can deliver the entire project on time
431,This falls outside of my scope.,"As it turns out, this particular request falls outside of our responsibilities for this project. Im happy to discuss adding this to our scope of work if it's necessary."
458,This isn't worth my time.,I am swamped with other tasks today.
369,Stop passing the buck and own up to your mistakes.,Accountability is key in our work and will help us learn and grow from our mistakes.
91,I assumed you wouldn't mind.,My understanding was that you were on board with this.
342,Stop being so defensive every time you get feedback.,Receiving feedback gracefully is a key part of professional growth.
623,You're just so stubborn and refuse to change!,"I understand you have a specific way of doing things, but I believe there is value in exploring alternative methods."
348,Stop bringing smelly lunches; the break room isn't a fish market.,Considering the aromatic impact of our meals can ensure a more pleasant shared space.
218,"If you sing 'Happy Birthday' one more time, I'll lose my mind.","While celebrations are appreciated, maintaining a quiet environment aids in productivity."
13,Can I work on something more exiting?,"A professional goal of mine is to gain exposure to different projects and areas of business, can you share any opportunities for me to expand my scope?"
318,Quit playing politics and just do your job.,Maintaining a focus on our tasks rather than engaging in office politics can foster a more harmonious environment.
391,Thanks for the advice I didn't ask for.,"Thank you for sharing your thoughts, I will keep them in mind."
276,Leave my desk already!,"Unfortunately, now is not a good time."
168,"I need it by wednesday, don't fuck me over.","Looking forward to your reply, please make sure it is sent no later than wednesday due to the deadlines we have to adhere to."
624,Your'e not doing your job properly and it's making more job for me.,"As I noticed that there are a few tasks that are not being completed properly, I wanted to check in and see if you wanted to go over them together to avoid rework on my side."
479,"We've already discussed this, read your emails properly.",Per my last email.
599,"Your outrageous ringtone belongs in a circus, not an office.",Setting electronic devices to vibrate or silent can reduce disruptions and distractions.
507,Why didn't you tell me that the first time?,This would have been valuable to communicate earlier on this process.
220,If you want it done your way then just do it yourself.,"As you seem to have a very clear vision for the execution of this, I encourage you to take the lead here and i'm happy to support you where necessary."
626,You're not my boss.,You can refer to my direct manager if you want this task to be added to my workload. 
621,You're just not a team player.,Fostering a collaborative spirit and contributing to team tasks is important for our group dynamics.
227,"I'll provide an update when I have one, stop bothering me!","Once I have anything new, I'll make sure you'll be the first to recieve an update."
478,We will install it on AWS by the end of the year. ,"Our journey to the cloud will reach GA by the end of fiscal year 2023, by leveraging our strategic partnership with Amazon, a major rain maker in the space. "
513,Why me?,I don't think i'm the right person for that.
57,"Forget about it, I'm not gonna do it. ",Ask me in a month.
477,We need an answer now.,"We are eager to get this resolved as soon as possible, so if there is otherwise a better way to reach you, please let me know."
619,You're just a brown-noser.,I notice you spend a lot of time with management. Let's ensure that it's productive and beneficial for the whole team.
254,It would take me too much time to learn how to do this. ,Not sure i'm the best for it.
21,Can you stop following up every 2 seconds? I'm working on it!,"Currently I am actively working on resolving this, and require uninterrupted time to complete it."
316,Quit bringing your monstrous plant; it's blocking out the sun.,Keeping personal decorations within a reasonable size can ensure clear sightlines for all.
463,This place is a mess because of your clutter.,Maintaining an organized workspace is crucial for productivity and team morale.
162,I have told you this so many fucking times.,The information has not changed since the last time it was communicated.
279,Loads of people will be fired soon,The company is downsizing
229,"I'm entitled to take my paid days off, don't make me feel bad about it.","Paid days off are part of my total compensation and I'm entitled to take them, if you have any issues with this I have to loop in hr."
389,Thank you.,Your attention to this matter is appreciated.
417,The constant tardiness is getting old.,Promptness demonstrates respect for others' time and helps ensure smooth operations.
494,What the fuck did you just say?,Kindly explain your thought process.
346,Stop blasting your motivational podcasts for all to hear.,Using headphones for personal audio reduces disturbances and aids in maintaining focus.
311,Please don't make me have small talk with you.,Now isn't a good time for me.
115,I don't understand your accent so I can't anwer your question. ,Would you mind just repeating the question?
101,I can't help you because your face annoys me. ,I can't help you due to personal reasons.
375,Stop slamming doors like you're in a dramatic exit scene.,"Gently closing doors and drawers can help maintain a quieter, more serene environment."
87,I am not paid enough to do this.,This falls out of my job description but if the opportunity for a role expansion becomes available I would be happy to discuss reworking my contract to better align with these new responsibilities.
462,This might sound stupid.,Here's something to consider.
333,Stay in your lane.,"Thanks for your input, I'll keep that in mind as I move forward with decisions that fall within my responsibility."
245,I'm stuck until you answer this,I would appreciate a reply at your earliest convenience.
469,Wait until our manager hears about your stupid idea. ,Could we discuss this further in a team meeting?
124,"I don't have anything planned, I just really don't want to come.",Sadly I'm booked into something else.
594,"Your nail clipping routine is nauseating, not normal.",Avoiding personal grooming habits in shared spaces respects the comfort of others.
20,Can you rephrase your question so you won't look stupid?,Maybe I didn't get your point exactly - could you explain again what you wanted to ask?
71,He works for me.,We work together.
106,I deserve a raise.,Given my contributions to the company's success along with a current market analysis of my role. I am setting up time to discuss a salary review.
273,Leave me alone and let me do my job.,Some space to complete my work that would be very helpful.
439,This is urgent.,Please prioritize this as soon as possible.
102,I can't trust them with this task.,Make sure to keep an eye on their progress on this task.
